abbreviatedAddress,address/city,address/zipcode,bathrooms,bedrooms,livingArea,description,dateSold,daysOnZillow,price,lastSoldPrice,yearSold
3415 NE Bryce St,Portland,97212,3.0,4.0,3255.0,"Stunning Craftsman in one of the finest neighborhoods in Portland! Built in 2018 with the highest quality details and impeccable design. Open layout, executive master suite, private study with exposed brick wall, exposed beams, chef's kitchen with built in fridge, central vacuum, AC, gated driveway, abundance of natural light. Perfectly appointed yard, covered patio, and large covered front porch. Walkable to Freemont St, Alameda, Grant Park, and Alberta.",2021-01-21 23:00:00,182.0,1303000,1303000,2021
6315 N Michigan Ave,Portland,97217,2.0,3.0,3400.0,"Original PDX Street of Dreams home! New roof in 2018, exterior/interior paint, quartz counters, tile floors. All original mahogany woodwork and hardwood floors throughout upper floors. Original tile in bathrooms. Great large layout. Newly carpeted lower level w/ family room, fireplace and spacious home office w/ bar sink. Large windows with tons of natural light. Large 2 car detached garage. Newer studio in backyard, fire pit & hot tub. [Home Energy Score = 2. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10049874]",2021-01-24 23:13:20,179.0,690000,690000,2021
6814 N Delaware Ave,Portland,97217,3.0,4.0,2091.0,"Rare new construction in Arbor Lodge! Located directly across from Arbor Lodge Park & mere steps from Chief Joseph Elementary. High ceilings, large well placed windows, a soft pallet and a thoughtfully designed floor plan makes this home live much larger then its sq ft. Beautiful cabinetry, quartz cntrtps, SS appliances and eating bar. Master ensuite w/tray ceiling and walk in closet. Gas Fireplace, Shiplap wall accents & designer finishes throughout. Cat 6 networking/cable throughout. Must See! [Home Energy Score = 9. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10188366]",2021-01-29 00:26:40,175.0,675000,675000,2021
3425 NE Bryce St,Portland,97212,2.0,3.0,2586.0,"What separates this from the others is the expansive private yard unlike those of surrounding properties. This Beaumont beauty has an unexpected family room upstairs that offers extra space for home classroom, office, media, or craft room. Primary bedroom can be up or on the main. Incredible outdoor space.Covered front porch and partially covered back deck with enclosed grilling room bring the outdoors in. See virtual tour for layout and room size. Strick COVID and S/D protocol. Cheers [Home Energy Score = 2. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10188362]",2021-01-29 00:26:40,175.0,830000,830000,2021
4914 NE 35th Pl,Portland,97211,3.0,5.0,2604.0,"Striking new modern in outstanding Alberta Arts location. Open floor plan, expansive windows, & spacious covered rear porch for entertaining. A floor plan to covet: 4 beds/2 baths/loft upstairs w/ vaulted ceilings. Main floor office w/ optional main-floor shower. Attached garage and mud room for NW winters. Stroll to hot Alberta businesses, Wilshire Park, Kennedy School, New Seasons & more! Energy Efficient EPS home! Estimated completion January 2021. Still time to pick some finishes & colors!",2021-01-29 00:26:40,175.0,867290,867290,2021
5375 NE 16th Ave,Portland,97211,3.0,3.0,2341.0,"Beautiful 2017 contemporary home in popular Alberta Arts, near restaurants & shops on Killingsworth & Alberta. Main-level gourmet kitchen,  gas cooktop, electric oven, SS appliances, clever cabinet storage, lg island, quartz, pantry  flows into dining & living areas. Pocket office turned custom bar room.  Lg MBR features  huge walk-in shower & walk-in closet.  Upstairs loft/office/flex space, laundry, nice sized bedrooms.  Energy star appliances  Backyard oasis!  Spectacular move-in ready home [Home Energy Score = 9. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10188172]",2021-02-01 00:40:00,172.0,780000,780000,2021
2225 NE Jarrett St,Portland,97211,3.0,3.0,3022.0,"Gorgeous custom home is ready for your lifestyle. Featuring 3 bedrooms with big master suite + fireplace, 2.5 baths, office. Gourmet kitchen with SS/gas appliances/storage is the focal point of an open floor plan. Central air, tankless hot water provides those extra comforts. Hardwoods and custom finishes throughout with a large finished basement w/garage access. Walk Score: 73, Bike Score: 91. Just steps to Alberta Park.",2021-02-04 00:53:20,169.0,775000,775000,2021
5704 N Commercial Ave,Portland,97217,2.0,3.0,3589.0,"Classic Craftsman in the Historic Piedmont District! Corner lot. So many amenities! Box beam ceilings, wainscoting, picture rails, plate molding, solid hardwood throughout. Unique kid cave in finished attic. High efficiency furnace in 12-2019, recently painted exterior. 2 car garage with storage and workbench. Flower beds are magnificent in the spring! Easy access to downtown. Walking score 90. Biking score 100! Simply Stunning home.",2021-02-01 22:53:20,171.0,780000,780000,2021
3524 NE 17th Ave,Portland,97212,2.0,3.0,2288.0,"*Offers received, highest and best due Tuesday at 5pm, Sellers request offer expiration to be no earlier than 9pm,Tuesday 1/12* Beautiful 1923 vintage bungalow on gorgeous NE 17th Ave. Just blocks to parks, restaurants. Features large inviting front porch, hardwood flooring, formal living & dining room w/built-ins, Large updated kitchen w/vaulted breakfast nook, new lux vinyl plank floors,& blt-in table & bench. Great floor plan with 3 bedrooms on the main & bonus room and full bath below. [Home Energy Score = 4. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10185613]",2021-02-04 00:53:20,169.0,711000,711000,2021
339 N Skidmore St,Portland,97217,3.0,6.0,2614.0,"Completely renovated home + ADU with 3 living spaces in one of the cities hottest neighborhoods! Top unit features an open floor plan w/2 beds, 1 bath. Main floor and basement (with own access) also have 2 beds and 1 bath. All levels feel bright and fresh. Built in 1906, building updated w/modern appliances, flooring, bathrooms, double pane windows and more! Large front porch perfect for lounging. Highly desirable location between all the fun of Mississippi and Alberta. 85 walkscore! [Home Energy Score = 6. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10187292]",2021-02-04 00:53:20,169.0,730000,730000,2021
4115 N Concord Ave,Portland,97217,3.0,4.0,2422.0,"Opportunity. This one has it all. Separate downstairs living complete with Bedroom, Living area, Kitchen and Laundry. Two car detached garage is a shop wired for 220. Plus the compressor stays. Two sets of washers/dryers stay. Refrigerator stays.  Heated tile bathroom floors. Long driveway with privacy gate. Covered patio has a ceiling fan. Rain barrels. Hardwood floors. Central Air. Leaded pane windows. Closed to MAX, buses, freeway, dining, shopping, and parks. Desirable Overlook neighborhood.",2021-02-10 01:20:00,163.0,675000,675000,2021
6429 NE 31st Ave,Portland,97211,2.0,3.0,2199.0,"Fab Updates w/ Vintage Details still intact in this Lovely Concordia Abode! Well-situated English-style home features beautiful oak floors & trayed ceilings as well as a gorgeous newer kitchen w/ quartz counters, stainless appliances, subway tile & gas cooking. New spacious master suite features large bathroom w/ double vanity & walk-in shower plus a roomy walk-in closet. Newer roof, plumbing & vinyl windows. Close to Kennedy School, New Seasons & Fernhill Park. 90 Bikescore! [Home Energy Score = 4. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10081003]",2021-02-12 00:33:20,161.0,660000,660000,2021
5242 NE 22nd Ave,Portland,97211,3.0,3.0,1790.0,"Beautifully designed condo townhouse located in the vibrant Alberta Arts District and a short distance to Alberta Park, and the many eateries that line Alberta and Killingsworth. This lovely home offers a free-flowing open floor-plan, a gorgeous kitchen, hardwoods, 3 large bedrooms, 2,5 baths, a well appointed primary suite with a large walk-in closet and stunning bathroom. Don't miss your chance to reserve this home, schedule a showing today!",2021-02-04 23:06:40,168.0,680000,680000,2021
2822 NE Emerson St,Portland,97211,2.0,3.0,2166.0,"Custom lovingly built craftsman home w/ Hi ceilings, numerous windows & open floorplan  Intentional design choices offer flexibility for modern work/study at home environment.   Beautiful hardwood floors, built-ins, & sitting areas. Entire 2nd floor Master suite can easily be divided & offers up office & family room opportunities. Home blends in on lush corner lot, w/ raised beds. Entertain from private back patio & front porch. Many popular restaurants, coffee shops & boutiques just blocks away",2021-02-12 00:33:20,161.0,730000,730000,2021
2227 NE Ainsworth St,Portland,97211,2.0,4.0,2819.0,"Boasting with charm in Concordia,one of Portland's hottest neighborhoods.Offering two master bedrooms with one on the main.Hardwood floors, wood burning fireplaces, large bedrooms, living room, family room and a private fully fenced backyard.  Room for the entire family.Working from home?  We've got you covered with two separate offices on two different floors.  Convenient shopping/entertainment with nearby Kennedy School, Alberta Park and New Seasons.Offer deadline Monday 1/11/21 at 12:00pm",2021-02-12 00:33:20,161.0,677500,677500,2021
4037-4039 N Williams Ave,Portland,97227,2.0,4.0,3620.0,"4037-4039 N Williams Ave, Portland, OR 97227 is a apartment home that contains 3,620 sq ft and was built in 1890. It contains 4 bedrooms and 2 bathrooms. This home last sold for $1,000,000 in February 2021. 
 
The Rent Zestimate for this home is $4,052/mo.",2021-02-15 23:00:00,157.0,1000000,1000000,2021
3163 NE Regents Dr,Portland,97212,4.0,5.0,2975.0,"Your perfect dream home is here! This spacious 1915 Alameda Craftsman is beautifully redone with a large covered porch, formal entry, living & dining rooms, hardwood floors, built-ins and gas fireplace. Versatile and exquisitely appointed, this light-filled home includes 5 bedrooms, 3.5 bathrooms, gourmet kitchen, fully finished basement with guest suite, and large master suite with private balcony. Entertain in your backyard, or walk to shops, cafes and parks. This rare gem is waiting for you! [Home Energy Score = 4. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10188046]",2021-02-15 23:00:00,157.0,1215000,1215000,2021
5235 NE Mallory Ave,Portland,97211,3.0,4.0,3274.0,"Sophistication meets charm in this stunning Craftsman.Original box beam ceilings,lead glass windows,fir floors & certified wood burning stove.4 beds,incl.suite w/dressing rm,2.5 baths,office nook & finished 3rd flr for work/play.The kitchen is a dream w/gas cooking,SS apps,island & pantry.Basement w/outside entry & detached 2 car garage.Relax in the fenced backyard or on the grand front porch.This turnkey property has been restored & maintained w/integrity both aesthetically & mechanically. [Home Energy Score = 4. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10188429]",2021-02-18 01:00:00,155.0,900000,900000,2021
1322 NE Saratoga St #1,Portland,97211,4.0,4.0,2460.0,"Beautiful new Contemporary house in the heart of the Dekum Triangle/Woodlawn neighborhood. Tall ceilings, large windows and high end finishes. Main level bedroom and full bathroom with exterior door. Master suite with built in bench, double closets and socking tub. Don't miss this one! Great neighborhood close to Woodlawn park, Woodlawn Farmers market and the local businesses along Dekum triangle.",2021-02-18 01:00:00,155.0,665000,665000,2021
3405 NE Shaver St,Portland,97212,3.0,4.0,3634.0,"Gorgeous home on corner lot backing up to Wilshire Park!  Gleaming refinished hardwood floors with mahogany inlays.  Open staircase off entry.  Big bright kitchen with eating space.  Huge living room with high ceiling and original tile fireplace. Lower level has wine cellar, extra storage, and apartment with separate entrance for additional income opportunity or extended family. Leaded glass windows.  This home has excellent bones so come take a look.",2021-02-18 23:13:20,154.0,859000,859000,2021
7036 N Mobile Ave,Portland,97217,3.0,3.0,2399.0,"Such a happy house! Built by Renaissance Homes in 2015 (LEED certified), it's been lightly lived in ever since and feels like new. The airy, open plan is flooded with light and perfectly made for entertaining, including the covered Patio. And it's ideal for working from home, with a den on the main, and loft space upstairs. The Master Suite and 2 add'l Bedrooms are perfectly proportioned. Even FIOS ready, with a dedicated 1 Gig line. Parks, amenities & transportation all close by. This is a 10. [Home Energy Score = 9. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10054363]",2021-02-18 23:13:20,154.0,725000,725000,2021
3913 N Longview Ave,Portland,97227,2.0,3.0,2224.0,"So much personality in this handsomely restored Craftsman in the heart of the Overlook Triangle. Features include original oak hardwoods, large living and formal dining rooms, French-inspired kitchen, large front porch, Rumford fireplace, restored wood sash windows with custom storm windows, built-ins, cedar shake + lap siding, exposed rafter tails, and more. Most major systems are new or updated and the private backyard is a blank canvas. Steps to Overlook Parks, bluffs, MAX, Adidas campus.",2021-02-18 23:13:20,154.0,750000,750000,2021
4476 N Michigan Ave #A/B,Portland,97217,4.0,4.0,2886.0,"You will be mesmerized by this urban townhome that's a quick walk to the excitement Mississippi Ave has to offer. High-end finishes, clean lines, bright & airy spaces, all come together to create a modern masterpiece that feels brand new! Exceptional attention to detail & quality throughout cannot be compared to anything on the market. A separate entrance leads to an ADU, perfect for Airbnb, long-term rental, office, or in-laws quarters. Walkscore 90, No HOA. No Sign. Priced to Sell!",2021-02-18 23:13:20,154.0,670000,670000,2021
3835 N Massachusetts Ave,Portland,97227,2.0,4.0,2709.0,"Sitting prettily, high off the street on a lovely, landscaped corner lot - this is the answer to your bungalow dreams. Polished to a high sheen & everything on your bungalow check list: welcoming front porch, FP, built-ins. Classic white kitchen w/custom cabinets, new HW floors & a sunny breakfast nook. The permitted basement remodel will knock your socks off - a fab family room, guest/office & full bath. Exterior entry-explore Airbnb/ADU options. All on the magical streets of Overlook Triangle! [Home Energy Score = 3. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10188497]",2021-02-21 23:26:40,151.0,820000,820000,2021
2354 N Webster St,Portland,97217,3.0,4.0,2803.0,"This stunning contemporary home is located half a block away from the Adidas Campus in the coveted Overlook neighborhood. The impressive main floor features a wall of windows and sliding doors that merge indoor and outdoor living flawlessly. Other notable upgrades include a large cook's kitchen, soaring ceilings, indoor/outdoor gas fireplaces, a spectacular primary bedroom suite, three additional spacious bedrooms, a large mudroom/pantry, and multiple flex spaces. A truly exceptional property. [Home Energy Score = 5. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10188598]",2021-02-23 22:40:00,149.0,922000,922000,2021
5244 NE 22nd Ave,Portland,97211,3.0,3.0,1790.0,"Beautifully designed condo townhouse located in the vibrant Alberta Arts District and a short distance to Alberta Park, and the many eateries that line Alberta and Killingsworth. This lovely home offers a free-flowing open floor-plan, a gorgeous kitchen, hardwoods, 3 large bedrooms, 2,5 baths, a well appointed primary suite with a large walk-in closet and stunning bathroom. Don't miss your chance to reserve this home, schedule a showing today!",2021-02-23 00:26:40,150.0,660000,660000,2021
1835 N Alberta St,Portland,97217,3.0,3.0,2449.0,"Must see this Move In Ready contemporary bungalow in sought after Overlook neighborhood. Updated and remodeled, with a lower level that can be either a 4th bedroom or bonus room, 3 full baths, gorgeous kitchen with SS appliances and beautifully landscaped backyard that is fully fenced with a hot tub and large deck- secluded setting too. Come quickly!",2021-02-23 00:26:40,150.0,685000,685000,2021
5912 N Mississippi Ave #A,Portland,97217,3.0,4.0,2248.0,"Dreamy four-square close in, full of light and cozy spaces inside and out. Lovely front porch, mature landscaping, new back deck, tree fort and flagstone patio. Fully permitted ADU with all the right touches! Open Saturday 11-2pm.",2021-02-26 00:40:00,147.0,850000,850000,2021
1508 NE Skidmore St,Portland,97211,4.0,3.0,2884.0,"Spectacular Modern townhome designd for indoor/outdoor living.  The layout of the home includes double wide sliding doors off the greatroom to the private patio, a loft on the 2nd floor and a 3rd floor bonus room w/full bath and wet bar and a covered deck.  Everyone has a place to work and play.  Great investment property, previously rented for $4,200 a month.    VIRTUALLY STAGED",2021-02-26 00:40:00,147.0,727000,727000,2021
1352 N Blandena St,Portland,97217,14.0,4.0,9640.0,"1352 N Blandena St, Portland, OR 97217 is a apartment home that contains 9,640 sq ft and was built in 2019. It contains 4 bedrooms and 14 bathrooms. This home last sold for $750,000 in February 2021. 
 
The Rent Zestimate for this home is $1,645/mo.",2021-02-26 00:40:00,147.0,750000,750000,2021
3924 NE 34th Ave,Portland,97212,2.0,4.0,2900.0,"Beautiful Beaumont-Wilshire home in ideal location! Enjoy photo & 3D tour & schedule a visit before it's gone!  4 beds (2 main level & 2 upper) offer a variety of live/work options. Gorgeous updated kitchen with gourmet appliances. Living room awash in natural light from large picture windows flows to dining area.  Full basement, partially finished with egress & bonus room. Large level yard, covered outdoor space, mature landscaping. Impeccably maintained, storage galore! Alameda & Grant Schools [Home Energy Score = 1. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10115993]",2021-02-26 00:40:00,147.0,850000,850000,2021
525 NE Humboldt St,Portland,97211,4.0,3.0,2167.0,"Stunning new construction located in the vibrant Alberta Arts District. This home offers a large studio ADU which could rent for $1200.00 per month (rentometer.com), tall south facing windows which let in abundant natural light highlighting it's modern accents such as lighting, beautiful kitchen, hardwoods and a generous master suite with walk-in closet. The home also has a nice side yard which is a rare find in any new construction home. Seller open to landscaping credit.",2021-02-26 00:40:00,147.0,750000,750000,2021
7135 N Fenwick Ave,Portland,97217,4.0,4.0,2558.0,"Wonderful Arbor Lodge Craftsman. Built in 2019. Home sits on a slightly raised 5000 SF lot. Home has been very gently used & is in ""like-new"" condition. 4 bed/3.5 bath(incl. 1 bed/1 bath ADU), almost 2600 SF. Features custom millwork, built-ins, box-beam ceilings, custom blinds throughout, quartz, SS apps, gas fireplace, covered back porch, bedroom/den/office on main, outbuilding perfect for office/studio, beautiful low-maintenance zen yard w/fire pit & seating area. Don't miss this home.",2021-03-01 00:53:20,144.0,835000,835000,2021
6944 SE Stark St,Portland,97215,3.0,4.0,3326.0,"This stunning home on Mt Tabor features amazing views of Mt Hood, quality finishes, and is just 5 min from the outdoor options of Mt Tabor Park! This great property includes a living rm with firepl, coffered ceiling & balcony, dining rm with built-ins, chef's kitchen, backyard deck. Upstairs, enjoy your morning coffee with Mt Hood views from the owner's suite balcony plus homeschool/media rm options with bdrm #4. New furnace/AC 2019, sewer line 2018, new interior paint 2020. [Home Energy Score = 2. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10186271]",2021-02-18 01:00:00,155.0,750000,750000,2021
4229 NE Laurelhurst Pl,Portland,97213,2.0,3.0,2580.0,"Charming English on a quiet tree-lined street in sought after Laurelhurst. Lovely vintage details, inviting hardwood floors + smart updates make this the perfect house to call home! Spacious, sunlit rooms mean you'll entertain in style both inside + out. Hardworking kitchen w/plenty of prep space + built-in nook makes dinner parties a breeze! Updated + fresh w/design driven finishes mean you'll feel right at home!",2021-02-18 01:00:00,155.0,700000,700000,2021
2503 NE Killingsworth St,Portland,97211,4.0,4.0,2322.0,"Restored craftsman home in heart of NE Portland. 2,332 sqft, 3 levels, 4 beds, 3.5 baths, lower level flex (family room/gym/office) & storage space. Schoolhouse lighting, inlaid hardwoods, custom tile fireplace, built-ins, quartz counters, a/c & heating, and subway tile. Open concept living, dining & kitchen great room w/easy access to private yard & cov porch. Iconic eateries like Dame, Salt & Straw & Hat Yai are blocks away. Alberta Park, Kennedy School, New Seasons & Mud Bay nearby.",2021-03-01 00:53:20,144.0,675000,675000,2021
5523 N Atlantic Ave UNIT A,Portland,97217,4.0,4.0,2800.0,Modern Oasis in the convenient and quiet Overlook neighborhood. Quartz counter Large backyard,2021-03-01 23:06:40,143.0,940000,940000,2021
10414 NE Halsey St,Portland,97220,2.0,3.0,5748.0,"10414 NE Halsey St, Portland, OR 97220 is a single family home that contains 5,748 sq ft and was built in 1952. This home last sold for $900,000 in February 2021. 
 
The Rent Zestimate for this home is $1,695/mo.",2021-02-21 23:26:40,151.0,900000,900000,2021
5024 NE 30th Ave,Portland,97211,3.0,4.0,3204.0,"Classic Beauty with lots of period detail in the Heart of the Alberta Arts District. Inlaid hardwoods, built-ins, custom tile fireplace, leaded glass, arched doorways. Updated kitchen w/WOLF Range, stainless steel appliances. Updated electrical and Solar panel. Large detached garage/shop. Covered outdoor patio. Lots of parking. [Home Energy Score = 5. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10049470]",2021-03-01 23:06:40,143.0,759000,759000,2021
200 SE 65th Ave,Portland,97215,2.0,3.0,3823.0,"200 SE 65th Ave, Portland, OR 97215 is a single family home that contains 3,823 sq ft and was built in 1948. It contains 2 bathrooms. This home last sold for $1,338,000 in February 2021. 
 
The Zestimate for this house is $1,415,500. The Rent Zestimate for this home is $5,675/mo.",2021-02-24 23:40:00,148.0,1338000,1338000,2021
5523 N Atlantic Ave,Portland,97217,4.0,4.0,2801.0,"Light filled modern in desirable Overlook. Open concept, seamless indoor/outdoor living, combined w/private backyard oasis. Quality meets smart home design. Hardwood floors, chefs kitchen, high ceilings, quartz counters, smart lighting, Nest therm, Ring doorbell. Earth Advantage Platinum certified = low carbon footprint. 22 solar panels. Separate 700sf 1 bed ADU (avg 2k/mo on Airbnb) also a great in-law or guest suite. Stellar location near Adidas, parks and more.",2021-03-01 23:06:40,143.0,940000,940000,2021
2305 NE Highland St,Portland,97211,3.0,5.0,3072.0,"Remodeled with 5 bedrooms, 3 bathrooms, 3 fireplaces and an attached 2-car garage. The flexible floor plan gives you the ability to rent the lower level or use all of the space for yourself! Main floor features hardwood floors, two  fireplaces & gorgeous remodeled kitchen with granite, double ovens and pantry wall. You'll love the seven sliding barn doors! Multiple outdoor living spaces with a hot tub, built-in benches, lovely landscaping & apple tree! [Home Energy Score = 4. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10186462]",2021-03-03 00:06:40,142.0,739000,739000,2021
3241-3305 NE 70th Ave,Portland,97213,1.0,2.0,850.0,"Desirable location (Sandy and NE 70th). Large two bedroom, one bath, upper unit. Full size washer and dryer in unit. Window air conditioner. Baseboard heat. One off street parking place at far left side of parking area. Shared common picnic area. Fresh paint. Sorry no pets and no smokers. For more information and our other vacancies go to portlandhomesinc.com.",2021-02-26 00:40:00,147.0,1095000,1095000,2021
2732 NE 51st Ave,Portland,97213,4.0,3.0,2770.0,"Open 2/6 12-4pm & 2/7 12-3pm Turn-key Craftsmen Bungalow in 10/10 Alameda location. Quiet street yet near it all. The perfect blend of original charm & character w/ modern upgrades. Great layout w/ large formal living room & dining rooms with built-ins, owner's suite on main, beautiful kitchen that opens to sunken family room & new covered Trex deck. Basement finished + new bath in 2018 (permitted). Hardwood floors replaced in 2018. Main & 2nd floor baths updated. Good ceiling height throughout. [Home Energy Score = 7. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10188648]",2021-02-26 00:40:00,147.0,899500,899500,2021
4833 NE Wistaria Dr,Portland,97213,2.0,4.0,3102.0,"Classic Alameda Ridge Craftsman w sweeping views of city & fall trees! Large light filled living, dining & sun rooms. Perfect combination of original 1917 craftsman features & modern day updates. Kitchen w custom cabinets, lighting, newer sewer/paint/furnace/water heater & more. Hardwood floors, main floor den/office + full bath. 4 beds upstairs & finished basement. Just blocks to Sandy, Beaumont Shops & MAX station. Covered front patio w views & private back patio perfect for entertaining.",2021-03-01 00:53:20,144.0,849000,849000,2021
5408 NE 14th Pl,Portland,97211,4.0,3.0,2027.0,"This contemporary home is nestled at the end of a private street in the popular Alberta Arts district. Enjoy the open floor plan, immaculate finishes, big living space, 3 big bedroom suites, gas fireplace, private deck, & so much more. The first floor is setup perfectly for a potential ADU or AirBnB with its own entrance, washer/dryer & kitchen like space. The private backyard features sleek pavers, a covered patio and modern fence. The best spots of Killingsworth & Alberta are only blocks away. [Home Energy Score = 7. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10188611]",2021-03-04 01:06:40,141.0,662000,662000,2021
3414 NE 42nd Ave,Portland,97213,3.0,4.0,2946.0,"Immaculately remodeled home w/high-end designer touches&refined beauty in prestigious Beaumont-Wilshire!Gorgeous refinished hardwood flrs;defined spaces w/coffered ceilings, millwork&period era charm!Seamlessly designed w/custom kitchen,SS appliances,two tone cabs w/open shelving&glass inlays!Dual vanity en suite,walk-in showers,high-end&extensive tilework w/3 full baths,4 spacious bedrms&numerous flex spaces perfect for play/school/work!Distingushed neighborhood w/99BikeScore/83WalkScore!",2021-02-26 00:40:00,147.0,970000,970000,2021
3124 NE 49th Ave,Portland,97213,3.0,3.0,2326.0,"Get ready to fall in love with this sunny 1910 Beaumont bungalow. Original charm throughout, including hardwoods, angled wood-burning fireplace, built-ins, antique moulding, & period fixtures, complement a granite kitchen, new efficient furnace, water heater, & updated electric panel. Ideal layout w/ 3 beds up, office & 1/2 bath on main, rec & bonus room lower. Desirable Beaumont / Grant schools, & proximity to trendy eats of Fremont st. Offer deadline has been set. [Home Energy Score = 3. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10188618]",2021-03-04 01:06:40,141.0,825000,825000,2021
3566 NE Bryce St,Portland,97212,2.0,2.0,1987.0,"Incredible attention to detail in this light-filled Alameda bungalow. Beautiful living/dining room w/ fireplace, built-ins and warm wood floors. Thoughtfully remodeled kitchen w/ breakfast nook and huge pantry. Wonderfully finished basement w/ egressed bedroom and 2nd full bath plus flex space. Stunning landscape design w/ exotic Ipe wood deck, porches and pergola. Awesome detached studio/home office/guest room. Newer roof, HVAC, A/C, electrical and siding. Ideally located near Wilshire Park.",2021-03-04 23:20:00,140.0,723000,723000,2021
338 N Mason St,Portland,97217,4.0,4.0,2092.0,Beautifully restored Old-Portland Foursquare just blocks to the heart of vibrant Williams corridor. Complete remodel maintains old PDX charm while updating for modern life. Inviting entryway leads into bright and open living space. Spacious kitchen features modern upgrades. Desirable master ensuite boasts huge shower and double sinks. Laundry on two floors for added convenience. Corner lot with private yard is perfect for summer entertaining!,2021-03-09 00:33:20,136.0,815000,815000,2021
605 SE 49th Ave,Portland,97215,2.0,3.0,1876.0,"OPEN Sat 1/30 1-4. Darling bungalow in the heart of SE Portland! Tastefully updated while maintaining the home's historic charm. Beautiful finishes including quartz, hardwood & custom backsplash. Cozy up near the fireplace on the main or relax in the spacious family room downstairs. Entertain & enjoy the outdoors on the huge deck & oversized yard. Prime location w/ Laurelhurst & Mt. Tabor parks w/in ~1 mile. Also near schools, great dining/shopping options, & PDX Nursery around the corner! [Home Energy Score = 8. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10041581]",2021-03-04 23:20:00,140.0,717000,717000,2021
6018 N Kerby Ave,Portland,97217,3.0,4.0,2989.0,"House = 3 bed/2 bath plus unfinished basement with separate entrance. Hardwood floors, fireplace, huge front porch overlooking Peninsula Park! Detached studio/office/mother-in-law = 1 bathroom + mini-kitchen (no oven) + loft bedroom and has been used as a successful Airbnb long-term (30+ day) rental for several years. 15 year old koi fish can be included.",2021-03-09 00:33:20,136.0,771000,771000,2021
2868 NE Rocky Butte Rd,Portland,97220,3.0,3.0,3367.0,"Amazing westerly views of PDX Skyline! Custom built w/ dramatic, vaulted Doug Fir ceilings, open floor plan, gourmet kitchen, living room w/ gorgeous fireplace plus a large office on the main. Lower level includes 2nd living room/work out area & laundry. Luxurious master suite w/ with soak tub, newly built sauna & walk-in closet. Boasting multiple IPE wood covered decks, floor to ceiling windows, great insulation & lots of storage. Ideal for entertaining friends year-round w/ great views!",2021-03-04 23:20:00,140.0,800000,800000,2021
3933 NE 26th Ave,Portland,97212,4.0,4.0,3589.0,"This beautifully restored English Arts & Crafts Cottage is a timeless classic on a treelined street in Alameda.Updates blend w/1920s charm in this 4 bed/3.5 bth airy entertainer's delight.The circular floorplan is filled with builtins, crown molding and a dreamy sunroom.A true chefs kitchen w/loads of light.The Primary suite has heated flrs in the bath and loads of closets.Stunning lower level w/egress and full bath.Courtyard w/hot tub.Fenced, raised corner w/rain garden. Hard to find 2 car gar.",2021-03-09 22:46:40,135.0,1220000,1220000,2021
226 SE 53rd Ave,Portland,97215,4.0,5.0,3290.0,"Classic Old Portland Style Craftsman on a huge lot, in Mt. Tabor! You will need to see this one to truly appreciate her grandeur! Two homes totaling approx. 4,000 sqft total, make sure you check out BOTH 3D Scans! Main home (approx. 3290sqft) offers 5 bedrms, 4 bthrms, spacious & private owner suite, gourmet kitchen, stunning built-in features, wood flrs, formal dining space & ample period details! Second home (approx. 756sqft, ADU) offers kitchenette, wood flrs, large bedrm & more! 3 car garage",2021-03-09 00:33:20,136.0,875000,875000,2021
201 SE 50th Ave,Portland,97215,3.0,4.0,2650.0,"Classy and sassy, this swoon-worthy Mt. Tabor home is both stately and charming. Open concept living room/dining room w/sought after circular floor plan. Upstairs owner's suite boasts ensuite w/heated floors & walk-in closet. Mere steps from your desk to an artist-inspired wet bar in the basement. High-end appliances throughout, NEW ROOF w/trans 30 year warranty,Pella high eff windows. 928SF detached garage for makerspace, craft zone, or to convert to ADU. Major owner-upgrades throughout!",2021-03-15 01:00:00,130.0,775000,775000,2021
603 NE 61st Ave,Portland,97213,3.0,4.0,2160.0,"Grand restoration on this 1908 FourSquare. Taken down to the studs w/ careful consideration to period charm. New electrical, plumbing, HVAC, roof, sewer & more. Upgrades throughout including extensive millwork, sound system, commercial appliances, hard surface selections, finishes & more. Private fenced backyard w/ Trex decking and new landscaping. This home sits perched up proudly on a corner lot in Prime PDX location, centrally located near neighborhood hot spots. Agent Owned",2021-03-12 00:46:40,133.0,720000,720000,2021
